,address,categories,latitude,longitude,name,zipcode,Zip Code,Neighborhood
0,"675 6th Ave, New York, NY 10010","{'beer_and_wine', 'grocery'}",40.7421188,-73.993988,Trader Joe's,10010,10010,Gramercy
1,"766 Sixth Avenue, New York, NY 10010","{'healthmarkets', 'grocery'}",40.7443982,-73.9914884,Fairway Market,10010,10010,Gramercy
2,"200 5th Ave, New York, NY 10010","{'cafes', 'italian', 'grocery'}",40.74195877796,-73.989716662832,Eataly,10010,10010,Gramercy
3,"765 Ave of the Americas, New York, NY 10010","{'delis', 'grocery', 'sandwiches'}",40.7446477832397,-73.9918148517609,Sunac Fancy Food,10010,10010,Gramercy
4,"278 Park Avenue South, New York, NY 10010",{'grocery'},40.739523125305,-73.987126781328,Morton Williams,10010,10010,Gramercy
5,"384 2nd Ave, New York, NY 10010","{'delis', 'grocery', 'sandwiches'}",40.7374085,-73.9812259,Gramercy Food Market,10010,10010,Gramercy
6,"341 3rd Avenue, New York, NY 10010",{'grocery'},40.7402000427246,-73.9817352294922,D'Agostino,10010,10010,Gramercy
7,"252 3rd Ave, New York, NY 10010","{'markets', 'grocery'}",40.7373962402344,-73.9845428466797,Eden Farm,10010,10010,Gramercy
8,"311 East 23rd Street, New York, NY 10010",{'grocery'},40.7378,-73.98016,Morton Williams,10010,10010,Gramercy
9,"71 Lexington Ave, New York, NY 10010",{'grocery'},40.7410812,-73.983429,New York Deli & Grocery 71,10010,10010,Gramercy
10,"178 5th Ave, Ste A, New York, NY 10010","{'delis', 'grocery', 'convenience'}",40.741283416748,-73.9901809692383,City Market Cafe,10010,10010,Gramercy
11,"400 East 23rd St, New York, NY 10010",{'grocery'},40.7365168094685,-73.9782737195492,Gracefully,10010,10010,Gramercy
12,"355 1st Ave, New York, NY 10010",{'grocery'},40.7355317,-73.9797249,Gristedes,10010,10010,Gramercy
13,"25 Waterside Plz & FDR Dr, New York, NY 10010",{'grocery'},40.737699820368,-73.9737716254143,Gristedes,10010,10010,Gramercy
14,"26th St and 3rd Ave, Manhattan, NY 10010",{'grocery'},40.740729868412,-73.9817599207163,Red Pepper,10010,10010,Gramercy
15,"38 W 32nd Street, New York, NY 10001",{'grocery'},40.74785,-73.98739,H Mart,10001,10001,West Midtown
16,"250 7th Ave, New York, NY 10001","{'gourmet', 'coffee', 'grocery'}",40.74499,-73.99522,Whole Foods Market,10001,10001,West Midtown
17,"838 Ave Of The Americas, New York, NY 10001","{'delis', 'diyfood', 'grocery'}",40.7467658,-73.9899617,Sun Sweet Fresh Market,10001,10001,West Midtown
18,"317 9th Ave, New York, NY 10001",{'grocery'},40.7498719,-73.999261,Ideal Market Place,10001,10001,West Midtown
19,"155 W 29 St, Manhattan, NY 10001","{'delis', 'grocery', 'sandwiches'}",40.7477417,-73.9920731,Guru's Deli & Grocery,10001,10001,West Midtown
20,"460 W 34th St, New York, NY 10001","{'delis', 'grocery'}",40.7540512084961,-73.9989776611328,Food Depot Gourmet Deli,10001,10001,West Midtown
21,"876 Ave of the Americas, New York, NY 10001",{'grocery'},40.74787,-73.98884,876 Market Deli,10001,10001,West Midtown
22,"307 W 26th St, New York, NY 10001",{'grocery'},40.7474472,-73.9972898,Gristedes,10001,10001,West Midtown
23,"403 8th Ave, New York, NY 10001",{'grocery'},40.7499008,-73.9955292,Eight Ave Gourmet Market,10001,10001,West Midtown
24,"234 5th Ave, New York, NY 10001","{'diners', 'grocery'}",40.7443351745605,-73.9880447387695,Naturally Tasty,10001,10001,West Midtown
25,"250 10th Ave, New York, NY 10001",{'grocery'},40.748577,-74.003173,London Terrace Grocer,10001,10001,West Midtown
26,"231 9th Ave, New York, NY 10001",{'grocery'},40.7474186,-74.0008392,Chelsea Terrace Supermarket,10001,10001,West Midtown
27,"403 8th Ave, N/W Corner 30th St, Manhattan, NY 10001",{'grocery'},40.749881,-73.995559,8th Ave Gourmet,10001,10001,West Midtown
28,"606A W 28th St, New York, NY 10001","{'beer_and_wine', 'grocery'}",40.7520093,-74.0050614,Manhattan Wine Company,10001,10001,West Midtown
29,"35 W 31st St, New York, NY 10001","{'grocery', 'convenience'}",40.7474289,-73.9875031,Western Union,10001,10001,West Midtown
30,"249 Grand, New York, NY 10001",{'grocery'},40.7180290222168,-73.9941635131836,Haisein Co,10001,10001,West Midtown
31,"245 W 29th St Lbby, New York, NY 10001",{'grocery'},40.7502403259277,-73.9969635009766,Marketplace,10001,10001,West Midtown
32,"200 E 32nd St, New York, NY 10016","{'healthmarkets', 'beer_and_wine', 'grocery'}",40.7440223693848,-73.9789581298828,Trader Joe's,10016,10016,Murray Hill
33,"135 Lexington Ave, New York, NY 10016",{'grocery'},40.743068,-73.981842,Spice Corner,10016,10016,Murray Hill
